BJD - 2454833, Corrected Flux,
2158.548214425, 0.999915827,
2158.568646264, 0.999792090,
2158.650373615, 1.000034328,
2158.670805552, 0.999844825,
2158.691237288, 0.999796422,
2158.711669124, 0.999824632,
2158.732101060, 0.999817996,
2158.772964630, 0.999930893,
2158.793396564, 0.999782546,
2158.813828298, 0.999805854,
2158.854692065, 0.999714922,
2158.875123798, 0.999797052,
2158.895555731, 0.999841748,
2158.915987563, 0.999900111,
2158.936419395, 0.999913237,
2158.956851226, 0.999930389,
2158.977283057, 0.999714721,
2158.997714888, 0.999772295,
2159.018146718, 0.999817225,
2159.038578548, 0.999776337,
2159.059010377, 0.999790056,
2159.079442306, 0.999781480,
2159.099874035, 0.999815834,
2159.120305863, 0.999757854,
2159.140737791, 0.999756998,
2159.161169518, 0.999688525,
2159.181601345, 0.999751899,
2159.202033272, 0.999776539,
2159.222464999, 0.999782005,
2159.242896825, 0.999842684,
2159.263328650, 0.999891943,
2159.283760476, 0.999939409,
2159.304192300, 0.999823420,
2159.345055949, 0.999887528,
2159.365487773, 0.999716523,
2159.385919596, 0.999687927,
2159.406351419, 0.999633558,
2159.426783241, 0.999733837,
2159.447215163, 0.999790878,
2159.467646885, 0.999776960,
2159.508510628, 0.999781534,
2159.528942348, 0.999898606,
2159.549374269, 0.999743853,
2159.569806089, 0.999744296,
2159.590237808, 0.999837977,
2159.610669727, 0.999864816,
2159.631101546, 0.999901920,
2159.651533264, 0.999833875,
2159.671965182, 0.999815529,
2159.692397000, 0.999810237,
2159.712828717, 0.999841549,
2159.753692450, 0.999860313,
2159.774124267, 0.999858042,
2159.794556082, 0.999807938,
2159.814987897, 0.999906105,
2159.835419713, 0.999803981,
2159.855851527, 0.999876383,
2159.876283341, 0.999774207,
2159.896715155, 0.999843162,
2159.917147069, 0.999756766,
2159.937578782, 0.999995860,
2159.958010594, 0.999920106,
2159.978442407, 0.999911875,
2159.998874219, 0.999710362,
2160.019305930, 0.999808406,
2160.039737841, 0.999835640,
2160.060169652, 0.999821952,
2160.080601563, 0.999843333,
2160.101033273, 0.999760916,
2160.121465083, 0.999719262,
2160.141896992, 0.999827716,
2160.162328701, 0.999611412,
2160.182760510, 0.999548663,
2160.203192418, 0.999811982,
2160.223624126, 0.999689227,
2160.244055933, 0.999914293,
2160.264487840, 0.999827920,
2160.284919647, 0.999843858,
2160.305351353, 0.999774627,
2160.325783259, 0.999825869,
2160.346215065, 0.999828818,
2160.366646770, 0.999936358,
2160.387078675, 0.999854175,
2160.407510479, 0.999950780,
2160.427942184, 0.999797722,
2160.448374087, 0.999996234,
2160.468805891, 0.999874608,
2160.489237594, 0.999921300,
2160.509669496, 0.999914477,
2160.530101299, 0.999871023,
2160.550533001, 0.999896355,
2160.570964902, 0.999892022,
2160.591396703, 0.999776611,
2160.611828504, 0.999843494,
2160.652692105, 0.999950812,
2160.734419401, 0.999754955,
2160.754851100, 0.999882190,
2160.775282897, 0.999867012,
2160.795714695, 0.999853639,
2160.816146492, 1.000000816,
2160.836578289, 0.999923385,
2160.857010185, 0.999803949,
2160.877441881, 0.999853007,
2160.897873677, 0.999927278,
2160.918305572, 0.999742144,
2160.938737267, 0.999834103,
2160.959169062, 0.999583437,
2160.979600956, 0.999435171,
2161.000032650, 0.999601050,
2161.020464443, 0.999933331,
2161.040896336, 0.999943457,
2161.061328029, 0.999937814,
2161.081759822, 0.999758860,
2161.102191714, 0.999804238,
2161.122623505, 0.999981742,
2161.143055197, 0.999844877,
2161.163487087, 0.999928082,
2161.204350568, 0.999866597,
2161.224782458, 0.999729847,
2161.245214248, 0.999839496,
2161.265645937, 0.999777743,
2161.286077825, 0.999838431,
2161.306509614, 0.999852332,
2161.326941502, 0.999705044,
2161.347373190, 0.999835878,
2161.367804977, 0.999874550,
2161.388236864, 0.999852893,
2161.408668551, 0.999882469,
2161.469963908, 0.999880940,
2161.490395693, 0.999817696,
2161.531259263, 0.999867089,
2161.572122830, 0.999845177,
2161.592554614, 0.999945562,
2161.612986397, 0.999797679,
2161.633418180, 0.999796354,
2161.653849962, 0.999897381,
2161.674281744, 0.999801910,
2161.735577087, 0.999814953,
2161.756008968, 0.999572619,
2161.776440648, 0.999684195,
2161.796872428, 0.999796954,
2161.817304307, 0.999825823,
2161.837735986, 0.999789372,
2161.858167865, 0.999850436,
2161.878599644, 0.999863549,
2161.899031321, 0.999893739,
2161.919463199, 0.999852307,
2161.939894976, 0.999913406,
2161.960326753, 0.999909247,
2161.980758530, 0.999947333,
2162.001190306, 0.999841528,
2162.021622082, 0.999846455,
2162.042053858, 0.999913897,
2162.062485633, 0.999999168,
2162.082917408, 0.999963208,
2162.103349182, 0.999932028,
2162.123780956, 0.999876943,
2162.144212730, 0.999998740,
2162.164644604, 0.999919834,
2162.205508049, 0.999920471,
2162.225939822, 0.999997794,
2162.246371594, 1.000114090,
2162.266803266, 0.999930032,
2162.287235137, 0.999963522,
2162.307666908, 0.999867089,
2162.328098578, 0.999997039,
2162.348530449, 0.999869133,
2162.368962219, 0.999996784,
2162.389393988, 0.995080689,
2162.409825757, 0.989085405,
2162.430257526, 0.987537286,
2162.450689395, 0.987187269,
2162.471121063, 0.987440280,
2162.491552831, 0.988429047,
2162.511984698, 0.991464052,
2162.532416465, 0.999244904,
2162.552848132, 0.999814919,
2162.573279999, 0.999744793,
2162.593711765, 0.999791567,
2162.614143430, 0.999982434,
2162.634575296, 0.999847521,
2162.695870590, 0.999926306,
2162.716302354, 0.999898829,
2162.736734017, 0.999926242,
2162.757165881, 0.999953898,
2162.777597644, 1.000019720,
2162.798029406, 0.999900947,
2162.818461169, 0.999963923,
2162.838892931, 0.999836838,
2162.859324692, 0.999947932,
2162.879756453, 0.999839344,
2162.900188214, 0.999954181,
2162.920619975, 0.999958423,
2162.941051735, 0.999903252,
2162.961483495, 0.999762482,
2162.981915254, 0.999986973,
2163.002347014, 0.999835048,
2163.022778772, 0.999767304,
2163.043210631, 0.999918130,
2163.063642289, 0.999892851,
2163.084074047, 0.999951153,
2163.104505904, 1.000027403,
2163.124937562, 1.000105672,
2163.145369318, 1.000057381,
2163.186232831, 0.999950719,
2163.227096442, 0.999968932,
2163.247528097, 0.999953352,
2163.288391706, 0.999934045,
2163.308823360, 0.999699355,
2163.329255114, 0.999684212,
2163.349686967, 0.999782079,
2163.370118720, 0.999679450,
2163.390550373, 1.000072377,
2163.410982226, 1.000038804,
2163.431413978, 1.000133458,
2163.451845629, 0.999851602,
2163.472277480, 0.999924318,
2163.492709232, 1.000009461,
2163.533572733, 0.999953753,
2163.554004482, 0.999938266,
2163.574436332, 1.000025449,
2163.697026723, 1.000053931,
2163.717458470, 1.000015878,
2163.737890217, 1.000048979,
2163.758321964, 0.999953110,
2163.778753710, 0.999907834,
2163.799185456, 0.999854802,
2163.819617202, 1.000029908,
2163.860480692, 0.999859286,
2163.921775925, 0.999942913,
2163.942207769, 0.999969215,
2163.962639412, 0.999933353,
2163.983071155, 0.999967890,
2164.003502998, 1.000059596,
2164.023934640, 1.000109447,
2164.044366382, 1.000068887,
2164.064798224, 0.999971837,
2164.085229865, 1.000072437,
2164.105661606, 0.999969306,
2164.126093446, 0.999739886,
2164.146525087, 0.999876694,
2164.166956927, 0.999833003,
2164.187388666, 1.000164571,
2164.207820406, 1.000128421,
2164.228252145, 0.999966693,
2164.248683883, 0.999891046,
2164.269115622, 0.999265536,
2164.289547460, 0.998918534,
2164.330410835, 0.998929988,
2164.350842672, 0.998909296,
2164.371274308, 0.998890498,
2164.412137781, 0.999344661,
2164.432569517, 0.999953621,
2164.453001252, 1.000073254,
2164.473432987, 1.000028127,
2164.493864722, 1.000061534,
2164.514296356, 0.999963658,
2164.534728190, 0.999986945,
2164.555159924, 1.000112190,
2164.575591657, 1.000148668,
2164.596023390, 1.000081356,
2164.616455123, 1.000023438,
2164.636886856, 1.000045402,
2164.657318588, 0.999987614,
2164.677750320, 1.000120102,
2164.698182151, 0.999976110,
2164.718613882, 0.999904254,
2164.739045513, 0.999904349,
2164.759477344, 1.000038617,
2164.779909074, 1.000037149,
2164.800340704, 0.999957839,
2164.820772533, 1.000098849,
2164.841204262, 1.000023562,
2164.861635891, 1.000048223,
2164.902499448, 0.999897345,
2164.922931076, 0.999854190,
2164.943362904, 0.999839147,
2164.963794631, 0.999994415,
2164.984226258, 1.000040234,
2165.004658084, 1.000022148,
2165.025089811, 1.000025495,
2165.045521537, 1.000057892,
2165.065953262, 1.000004355,
2165.086384988, 1.000008250,
2165.106816713, 1.000010101,
2165.127248438, 1.000081779,
2165.147680162, 0.999967265,
2165.168111886, 1.000167294,
2165.188543710, 1.000218981,
2165.208975333, 1.000098550,
2165.229407156, 1.000097467,
2165.249838779, 0.999921783,
2165.270270502, 0.999967627,
2165.290702324, 1.000092778,
2165.311133946, 0.999911600,
2165.331565667, 1.000094688,
2165.351997488, 1.000013237,
2165.392860830, 1.000045428,
