BJD - 2454833, Corrected Flux
2314.803479920, 0.992535941,
2314.823911763, 0.992539325,
2314.844343607, 0.992466365,
2314.864775350, 0.992606873,
2314.905639136, 0.992598062,
2314.926071078, 0.992409994,
2314.946502820, 0.992514051,
2314.966934662, 0.992591373,
2314.987366603, 0.992697975,
2315.007798344, 0.992457992,
2315.028230185, 0.992469910,
2315.048662125, 0.992563502,
2315.069093866, 0.992644391,
2315.089525705, 0.992601453,
2315.109957645, 0.992698842,
2315.130389384, 0.992787909,
2315.150821223, 0.992755665,
2315.171253161, 0.992726224,
2315.191685000, 0.992775874,
2315.212116738, 0.992795108,
2315.232548676, 0.992785325,
2315.252980513, 0.992836699,
2315.273412250, 0.992972775,
2315.293844187, 0.992911402,
2315.314276023, 0.992974207,
2315.334707759, 0.992856288,
2315.355139695, 0.992987195,
2315.396003466, 0.992811911,
2315.416435201, 0.992821522,
2315.436867035, 0.992904432,
2315.457298970, 0.992864071,
2315.477730704, 0.992655611,
2315.498162537, 0.992781829,
2315.518594371, 0.992722942,
2315.539026204, 0.992861264,
2315.559458036, 0.992547201,
2315.579889869, 0.992846887,
2315.600321701, 0.992766467,
2315.620753533, 0.992797640,
2315.641185364, 0.992912220,
2315.661617196, 0.992809071,
2315.682049027, 0.992802990,
2315.702480957, 0.992838904,
2315.722912688, 0.992786630,
2315.743344518, 0.992856615,
2315.763776447, 0.992867992,
2315.784208177, 0.993003284,
2315.804640006, 0.992992635,
2315.825071935, 0.993207894,
2315.845503663, 0.993180503,
2315.886367419, 0.992884900,
2315.906799147, 0.992817486,
2315.927231074, 0.992828147,
2315.947662901, 0.993016682,
2315.968094628, 0.992795435,
2315.988526555, 0.992900647,
2316.008958381, 0.992805902,
2316.029390206, 0.992913281,
2316.070253857, 0.992823979,
2316.090685682, 0.993302952,
2316.111117507, 0.993036102,
2316.131549331, 0.993082045,
2316.151981155, 0.992867457,
2316.172413079, 0.992928215,
2316.192844802, 0.992942184,
2316.213276625, 0.992958935,
2316.233708448, 0.992972220,
2316.254140271, 0.993011923,
2316.274571993, 0.993142164,
2316.295003915, 0.992936964,
2316.315435737, 0.992987033,
2316.335867658, 0.993005340,
2316.376731200, 0.993065872,
2316.397163120, 0.993014534,
2316.417594840, 0.992953732,
2316.438026660, 0.993182091,
2316.458458580, 0.993113440,
2316.478890299, 0.993038011,
2316.499322118, 0.993026367,
2316.519754037, 0.993244476,
2316.540185855, 0.993182912,
2316.560617573, 0.992951272,
2316.581049491, 0.993137310,
2316.601481309, 0.993156099,
2316.621913026, 0.993198560,
2316.642344943, 0.993087455,
2316.662776760, 0.992864385,
2316.683208476, 0.993204753,
2316.703640392, 0.993117024,
2316.724072208, 0.993203348,
2316.744503923, 0.992946635,
2316.764935839, 0.992383163,
2316.785367654, 0.991969344,
2316.805799568, 0.992005504,
2316.826231282, 0.992179865,
2316.867095010, 0.992826779,
2316.948822162, 0.993108011,
2316.969253975, 0.993129194,
2316.989685887, 0.993144506,
2317.010117598, 0.993209875,
2317.030549410, 0.993295134,
2317.050981221, 0.993491169,
2317.071413032, 0.993312732,
2317.091844842, 0.993279420,
2317.112276753, 0.993189124,
2317.132708463, 0.993357104,
2317.153140272, 0.993099762,
2317.173572182, 0.993394164,
2317.194003891, 0.993067624,
2317.214435800, 0.993305706,
2317.234867608, 0.993243218,
2317.255299316, 0.993274509,
2317.275731224, 0.992914220,
2317.296163032, 0.993110223,
2317.316594740, 0.993162330,
2317.357458454, 0.993529731,
2317.377890260, 0.993381758,
2317.398322066, 0.993497391,
2317.418753872, 0.993376386,
2317.439185678, 0.993279545,
2317.459617483, 0.993218552,
2317.480049289, 0.993252906,
2317.500481093, 0.993493129,
2317.520912898, 0.993396231,
2317.541344702, 0.993260456,
2317.561776506, 0.993279030,
2317.582208410, 0.993116128,
2317.602640113, 0.993690114,
2317.623071917, 0.993554555,
2317.643503819, 0.993293571,
2317.663935522, 0.993351429,
2317.684367424, 0.993205866,
2317.704799226, 0.993231476,
2317.725230928, 0.993196446,
2317.745662830, 0.993010493,
2317.766094531, 0.993178718,
2317.786526332, 0.993174248,
2317.806958232, 0.993244740,
2317.847821733, 0.993440162,
2317.868253633, 0.993522135,
2317.888685332, 0.993359061,
2317.909117131, 0.993353306,
2317.929549030, 0.993373748,
2317.949980829, 0.993299236,
2317.970412527, 0.993397780,
2317.990844426, 0.993518696,
2318.011276223, 0.993389596,
2318.031707921, 0.993257440,
2318.052139818, 0.993328627,
2318.093003312, 0.993647957,
2318.113435208, 0.993546629,
2318.133867004, 0.993369316,
2318.154298900, 0.993474156,
2318.174730596, 0.993506068,
2318.195162391, 0.993459850,
2318.215594286, 0.993485292,
2318.236025981, 0.993444287,
2318.256457776, 0.993465865,
2318.276889670, 0.993416575,
2318.297321364, 0.993445442,
2318.358616744, 0.993568383,
2318.379048537, 0.993627447,
2318.399480430, 0.993438601,
2318.419912222, 0.993595514,
2318.440343914, 0.993484679,
2318.460775806, 0.993564899,
2318.481207497, 0.993664153,
2318.501639288, 0.993610263,
2318.522071179, 0.993894900,
2318.583366551, 0.993656664,
2318.603798241, 0.993747058,
2318.624230130, 0.993642804,
2318.644661919, 0.993910197,
2318.665093609, 0.993930905,
2318.685525497, 0.993770281,
2318.705957286, 0.993739954,
2318.726388974, 0.993651714,
2318.746820862, 0.993643169,
2318.767252650, 0.993759094,
2318.787684437, 0.993952057,
2318.828548011, 0.993744853,
2318.848979798, 0.993764295,
2318.869411684, 0.993837691,
2318.889843371, 0.993864240,
2318.910275156, 0.993835059,
2318.930707042, 0.994020049,
2318.951138727, 0.993761424,
2318.971570512, 0.994040151,
2318.992002397, 0.994042659,
2319.012434081, 0.993983183,
2319.032865966, 0.993902003,
2319.073729433, 0.994006855,
2319.094161317, 0.993900413,
2319.114593100, 0.994222387,
2319.135024783, 0.994039147,
2319.155456665, 0.994150643,
2319.175888348, 0.994053937,
2319.196320130, 0.994228129,
2319.216752012, 0.994188750,
2319.237183693, 0.994153426,
2319.257615475, 0.994060316,
2319.278047355, 0.994079707,
2319.298479136, 0.994151447,
2319.318910817, 0.994092229,
2319.339342697, 0.994035369,
2319.359774477, 0.994250424,
2319.380206157, 0.994307245,
2319.400638036, 0.993913038,
2319.421069815, 0.994060460,
2319.441501694, 0.994264103,
2319.461933373, 0.994195129,
2319.482365151, 0.994364804,
2319.502797029, 0.994163883,
2319.523228707, 0.993430597,
2319.564092362, 0.994194130,
2319.584524040, 0.994128964,
2319.604955817, 0.994341542,
2319.625387693, 0.994128124,
2319.645819369, 0.994110999,
2319.666251145, 0.994216976,
2319.686683021, 0.994192436,
2319.707114797, 0.994105533,
2319.727546472, 0.994251481,
2319.747978347, 0.994470117,
2319.768410122, 0.994393708,
2319.809273670, 0.994258252,
2319.829705444, 0.994233287,
2319.850137218, 0.994057124,
2319.870568992, 0.994301677,
2319.891000665, 0.994428413,
2319.911432538, 0.994140752,
2319.931864311, 0.994256486,
2319.952296083, 0.994428707,
2319.972727855, 0.994358755,
2319.993159627, 0.994377376,
2320.013591299, 0.994415227,
2320.034023170, 0.994261797,
2320.054454941, 0.994213020,
2320.074886612, 0.994340295,
2320.095318483, 0.994529659,
2320.115750253, 0.994423439,
2320.136182023, 0.994386600,
2320.156613793, 0.994367752,
2320.177045563, 0.994573171,
2320.197477332, 0.994490884,
2320.217909101, 0.994540034,
2320.238340870, 0.994749403,
2320.258772739, 0.994786179,
2320.299636175, 0.994116778,
2320.320068043, 0.994320689,
2320.340499811, 0.994113471,
2320.360931478, 0.994095979,
2320.381363345, 0.994318493,
2320.401795112, 0.994423838,
2320.422226779, 0.994555903,
2320.442658645, 0.994435012,
2320.463090411, 0.994299481,
2320.483522077, 0.994398829,
2320.503953943, 0.994576277,
2320.524385708, 0.994295691,
2320.544817473, 0.994502958,
2320.565249238, 0.994506475,
2320.585681003, 0.994526164,
2320.606112767, 0.994516667,
