Radius(pc) TotalMass DiskMass BulgeMass 
560.00 7234850980.93 158311550.44 6985481043.45 
561.00 7250753996.81 159101217.87 7000256960.16 
562.00 7266652629.33 159893321.63 7015025495.52 
563.00 7282546858.12 160687864.35 7029786626.98 
564.00 7298436662.97 161484848.60 7044540332.18 
565.00 7314322023.84 162284276.99 7059286588.95 
566.00 7330202920.85 163086152.09 7074025375.25 
567.00 7346079334.30 163890476.49 7088756669.26 
568.00 7361951244.65 164697252.76 7103480449.30 
569.00 7377818632.51 165506483.48 7118196693.87 
570.00 7393681478.69 166318171.21 7132905381.63 
571.00 7409539764.12 167132318.51 7147606491.42 
572.00 7425393469.92 167948927.95 7162300002.23 
